ROUTE,METHOD,PUBLIC_OR_PRIVATE,ROLE,AUTH_SOURCE,MIDDLEWARE,API_GUARD,CSRF,RATE_LIMIT,IDOR_SCOPE,TOKEN_TYPE,COOKIE_POLICY,SESSION_REVOCATION,TESTS
/api/coach/maths-premiere-stage-printemps/students,GET,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/nsi-pratique-2026/students/[studentId]/progress,GET,PRIVATE_GUARD_PATTERN_FOUND,ADMIN|COACH,requireAnyRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/nsi-pratique-2026/students,GET,PRIVATE_GUARD_PATTERN_FOUND,ADMIN|COACH,requireAnyRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/sessions/[sessionId]/report,POST,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/sessions/[sessionId]/report,GET,PRIVATE_GUARD_PATTERN_FOUND,AUTHENTICATED_ROLE_CHECK_REVIEW,auth(),API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/stages,GET,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,NOT_APPLICABLE_OR_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/bilan-diagnostic-maths-terminale,GET,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/bilan-diagnostic-maths-terminale,PATCH,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/documents,GET,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
/api/coach/students/[studentId]/documents,POST,PRIVATE_GUARD_PATTERN_FOUND,COACH,requireRole,API_EXCLUDED_BY_MATCHER,GUARD_PATTERN_FOUND,NONE_FOUND,NONE_FOUND,RESOURCE_SCOPE_PATTERN_FOUND_REVIEW_REQUIRED,NONE,NOT_APPLICABLE,NONE_GLOBAL,STATIC_INVENTORY_TEST_MAPPING_REQUIRED
