instrument_code,level,subject,profile,eds,delivery_mode,current_for_2026_2027,candidate_pdf,coach_pdf,duration,version,sha256,ready_to_send
EDS-PC,Premiere,Spécialité physique-chimie,P1/P3,PC,SELF_ADMINISTERED,oui,1RE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,8c969312b8d44abf3c1d18e671ec076d2f5237f09bbf31ac43bb7812d236117a,oui
EDS-PC,Terminale,Spécialité physique-chimie,P2/P3,PC,SELF_ADMINISTERED,oui,TLE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,b1c5cd1b2471eaab12751c8f91882ae5d16282c63fa26ba722903cd3c8d01828,oui
EDS-NSI,Premiere,Spécialité numérique et sciences informatiques,P1/P3,NSI,SELF_ADMINISTERED,oui,1RE_SPE-NSI_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-NSI_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,9420442a695235a7d75eb372352a54f10c6bb856da874998c74194459607967f,oui
EDS-NSI,Terminale,Spécialité numérique et sciences informatiques,P2/P3,NSI,SELF_ADMINISTERED,oui,TLE_SPE-NSI_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-NSI_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,5d6808b7e3293bfd6e6c280bbda2dce3d1091d680f88dce2ae630d74e9096d95,oui
EDS-SVT,Premiere,Spécialité sciences de la vie et de la Terre,P1/P3,SVT,SELF_ADMINISTERED,oui,1RE_SPE-SVT_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-SVT_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,0ca7c00e80d19fcba06fbbb3fc5c92ed11be55878b19d5990b7d0ceca1fe8b3d,oui
EDS-SVT,Terminale,Spécialité sciences de la vie et de la Terre,P2/P3,SVT,SELF_ADMINISTERED,oui,TLE_SPE-SVT_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-SVT_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,dae943f882bd8c407cc9b3577dd6a7a7e2b2e96c3951015319141782581e353b,oui
EDS-SES,Premiere,Spécialité sciences économiques et sociales,P1/P3,SES,SELF_ADMINISTERED,oui,1RE_SPE-SES_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-SES_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,cb75aa5348694991628eb5681b78a7047d6f2c06d4b09ecbc663992ee644a735,oui
EDS-SES,Terminale,Spécialité sciences économiques et sociales,P2/P3,SES,SELF_ADMINISTERED,oui,TLE_SPE-SES_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-SES_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,2022cbdcd254bc16c862d161a33f3dd6335eaa45407be6f262984339e2fb1e08,oui
EDS-HGGSP,Premiere,"Spécialité histoire-géographie, géopolitique et sciences politiques",P1/P3,HGGSP,SELF_ADMINISTERED,oui,1RE_SPE-HGGSP_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-HGGSP_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,0aa3e149935e3c7b54471b8a901dbe8e3d4beebd94e1cb2c622dc8bd9a107c9b,oui
EDS-HGGSP,Terminale,"Spécialité histoire-géographie, géopolitique et sciences politiques",P2/P3,HGGSP,SELF_ADMINISTERED,oui,TLE_SPE-HGGSP_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-HGGSP_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,144dc71cbc85155b4d5629bddcddacc8bcd01bfe1aebd6b11cbcf8802fbc2ddb,oui
EDS-HLP,Premiere,"Spécialité humanités, littérature et philosophie",P1/P3,HLP,SELF_ADMINISTERED,oui,1RE_SPE-HLP_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-HLP_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,e644b734b0b22352f47e2ad2eefd01bf1c21c9867cb5a63e54299d32f6f02447,oui
EDS-HLP,Terminale,"Spécialité humanités, littérature et philosophie",P2/P3,HLP,SELF_ADMINISTERED,oui,TLE_SPE-HLP_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-HLP_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,1b03fe047764c6dd945f60b82344ea5c951d2e59f25a2b4ca3ed76786abf0514,oui
MATH-EA,Premiere,Mathématiques — épreuve anticipée de première,P1/P2/P3,,SELF_ADMINISTERED,oui,1RE_MATHS-EPREUVE-ANTICIPEE_SPE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_MATHS-EPREUVE-ANTICIPEE_SPE_DIAGNOSTIC_V1_CORRECTION.pdf,75,SPE,f0efe1b7c70f18a20aafaf181e099785b7e4953865c3b460a95eeddd342d8cb5,oui
MATH-EA,Premiere,Mathématiques — épreuve anticipée de première,P1/P2/P3,,SELF_ADMINISTERED,oui,1RE_MATHS-EPREUVE-ANTICIPEE_SPECIFIQUES_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_MATHS-EPREUVE-ANTICIPEE_SPECIFIQUES_DIAGNOSTIC_V1_CORRECTION.pdf,75,SPECIFIQUES,3dc8441966dbb012a959c98b8abf4d9f2cd97c6214472df2addb2dde61f1aa6e,oui
TC-HG,Premiere,Tronc commun — histoire-géographie,P1,,SELF_ADMINISTERED,oui,1RE_HISTOIRE-GEOGRAPHIE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_HISTOIRE-GEOGRAPHIE_DIAGNOSTIC_V1_CORRECTION.pdf,45,1RE,17976477e566fce4d47d020e379d2a372156cfc6cdcfb75162c2461b3bb4cd9c,oui
TC-HG,Terminale,Tronc commun — histoire-géographie,P2,,SELF_ADMINISTERED,oui,TLE_HISTOIRE-GEOGRAPHIE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_HISTOIRE-GEOGRAPHIE_DIAGNOSTIC_V1_CORRECTION.pdf,45,TLE,26c0b53d1e53a8d209d10844a933438c5c8a2d9687ea41f322832075a5142a6e,oui
TC-HG,Premiere-et-Terminale,Tronc commun — histoire-géographie,P3,,SELF_ADMINISTERED,oui,1RE-TLE_HISTOIRE-GEOGRAPHIE_ETENDUE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE-TLE_HISTOIRE-GEOGRAPHIE_ETENDUE_DIAGNOSTIC_V1_CORRECTION.pdf,60,ETENDUE,a0f0c7d6c6b1353367064f19183788354720e3b97450aa29b302bed5c5da1c71,oui
TC-EMC,Premiere,Tronc commun — enseignement moral et civique,P1,,COACH_INTERVIEW,oui,,1RE_EMC_DIAGNOSTIC_V1_CORRECTION.pdf,20,1RE,86d1b25ca3e97956aff504aef2add74c8f755cabd738dedabc43725eddc318fe,oui
TC-EMC,Terminale,Tronc commun — enseignement moral et civique,P2,,COACH_INTERVIEW,oui,,TLE_EMC_DIAGNOSTIC_V1_CORRECTION.pdf,20,TLE,c013c0cb60f49cd6324da21680e5d05dbca98ba7f13bb0550399c0033348f0e8,oui
TC-EMC,Premiere-et-Terminale,Tronc commun — enseignement moral et civique,P3,,COACH_INTERVIEW,oui,,1RE-TLE_EMC_ETENDUE_DIAGNOSTIC_V1_CORRECTION.pdf,25,ETENDUE,813169b5df744d8b829bd37a55dbb81176c7227743431f1074898cfa5048ab22,oui
FR-POS,Tous,Français — positionnement linguistique et français scolaire,P1/P2/P3,,SELF_ADMINISTERED,oui,TOUS_FRANCAIS-POSITIONNEMENT_DIAGNOSTIC_V1_CANDIDAT.pdf,TOUS_FRANCAIS-POSITIONNEMENT_DIAGNOSTIC_V1_CORRECTION.pdf,45,standard,8990c2427123c9036e567174bf4360dcd01e71015e1bc85b6aeb21367a3f3c48,oui
FR-POS-ORAL,Tous,Positionnement en français scolaire — entretien oral coach,P1/P2/P3,,COACH_INTERVIEW,oui,,TOUS_FRANCAIS-POSITIONNEMENT-ORAL_DIAGNOSTIC_V1_CORRECTION.pdf,10,standard,1dd4095abe46a1549bb0e25c070f6eb9027759c5a145f12300ad8ef4d4d57c30,oui
