selection_class,level,profile,ep_mode,eds_premiere,eds_terminale,eds_non_poursuivie,eaf_due,math_ea_due,fr_pos_requis,fr_mai_requis,diagnostic_nexus_utile,same_session_basis,instruments,candidate_booklets,candidate_pdfs,coach_keys,estimated_total_duration_min,states_in_class,representative_state,archive,missing_pdfs,ready_to_send
P1|EDS-HGGSP/N1 EDS-HLP/N1 EDS-MATH/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+HGGSP+HLP,,inconnue,les_deux,non,non,non,oui,,EDS-HGGSP/N1 EDS-HLP/N1 EDS-MATH/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HGGSP.pdf SPECIALITE_HLP.pdf,9,9,555,8,P1_annuelle_MATH-HGGSP-HLP_tle-inconnue_EAF-les_deux,audit-fixtures/combinaisons/Premiere/P1_MATH-HGGSP-HLP_EAF-ecrit-et-oral.zip,,oui
P1|EDS-HGGSP/N1 EDS-HLP/N1 EDS-MATH/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+HGGSP+HLP,,inconnue,les_deux,non,oui,non,oui,,EDS-HGGSP/N1 EDS-HLP/N1 EDS-MATH/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HGGSP.pdf SPECIALITE_HLP.pdf,10,11,610,8,P1_annuelle_MATH-HGGSP-HLP_tle-inconnue_EAF-les_deux_FR-POS,audit-fixtures/combinaisons/Premiere/P1_MATH-HGGSP-HLP_EAF-ecrit-et-oral_FR-POS-requis.zip,,oui
P1|EDS-HGGSP/N1 EDS-MATH/N1 EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+NSI+HGGSP,,inconnue,les_deux,non,non,non,oui,,EDS-HGGSP/N1 EDS-MATH/N1 EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HGGSP.pdf SPECIALITE_NSI.pdf,9,9,555,8,P1_annuelle_MATH-NSI-HGGSP_tle-inconnue_EAF-les_deux,audit-fixtures/combinaisons/Premiere/P1_MATH-NSI-HGGSP_EAF-ecrit-et-oral.zip,,oui
P1|EDS-HGGSP/N1 EDS-MATH/N1 EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+NSI+HGGSP,,inconnue,les_deux,non,oui,non,oui,,EDS-HGGSP/N1 EDS-MATH/N1 EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HGGSP.pdf SPECIALITE_NSI.pdf,10,11,610,8,P1_annuelle_MATH-NSI-HGGSP_tle-inconnue_EAF-les_deux_FR-POS,,,oui
P1|EDS-HLP/N1 EDS-MATH/N1 EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+NSI+HLP,,inconnue,les_deux,non,non,non,oui,,EDS-HLP/N1 EDS-MATH/N1 EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HLP.pdf SPECIALITE_NSI.pdf,9,9,555,8,P1_annuelle_MATH-NSI-HLP_tle-inconnue_EAF-les_deux,,,oui
P1|EDS-HLP/N1 EDS-MATH/N1 EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+NSI+HLP,,inconnue,les_deux,non,oui,non,oui,,EDS-HLP/N1 EDS-MATH/N1 EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HLP.pdf SPECIALITE_NSI.pdf,10,11,610,8,P1_annuelle_MATH-NSI-HLP_tle-inconnue_EAF-les_deux_FR-POS,,,oui
P1|EDS-MATH/N1 EDS-NSI/N1 EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+NSI+SES,,inconnue,les_deux,non,non,non,oui,,EDS-MATH/N1 EDS-NSI/N1 EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_NSI.pdf SPECIALITE_SES.pdf,9,9,555,8,P1_annuelle_MATH-NSI-SES_tle-inconnue_EAF-les_deux,audit-fixtures/combinaisons/Premiere/P1_MATH-NSI-SES_EAF-ecrit-et-oral.zip,,oui
P1|EDS-MATH/N1 EDS-NSI/N1 EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+NSI+SES,,inconnue,les_deux,non,oui,non,oui,,EDS-MATH/N1 EDS-NSI/N1 EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_NSI.pdf SPECIALITE_SES.pdf,10,11,610,8,P1_annuelle_MATH-NSI-SES_tle-inconnue_EAF-les_deux_FR-POS,,,oui
P1|EDS-MATH/N1 EDS-NSI/N1 EDS-SVT/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+NSI+SVT,,inconnue,les_deux,non,non,non,oui,,EDS-MATH/N1 EDS-NSI/N1 EDS-SVT/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_NSI.pdf SPECIALITE_SVT.pdf,9,9,555,8,P1_annuelle_MATH-NSI-SVT_tle-inconnue_EAF-les_deux,audit-fixtures/combinaisons/Premiere/P1_MATH-NSI-SVT_EAF-ecrit-et-oral.zip,,oui
P1|EDS-MATH/N1 EDS-NSI/N1 EDS-SVT/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+NSI+SVT,,inconnue,les_deux,non,oui,non,oui,,EDS-MATH/N1 EDS-NSI/N1 EDS-SVT/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_NSI.pdf SPECIALITE_SVT.pdf,10,11,610,8,P1_annuelle_MATH-NSI-SVT_tle-inconnue_EAF-les_deux_FR-POS,,,oui
P1|EDS-HGGSP/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+HGGSP,MATH+PC,HGGSP,les_deux,non,non,non,non,,EDS-HGGSP/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_SANS_SPECIALITE.pdf SPECIALITE_HGGSP.pdf,5,7,405,5,P1_annuelle_MATH-PC-HGGSP_tle-MATH-PC_EAF-les_deux_sans-diag-utile,audit-fixtures/combinaisons/Premiere/P1_MATH-PC-HGGSP_EAF-ecrit-et-oral_sans-diagnostic-utile.zip,,oui
P1|EDS-HGGSP/N1 EDS-MATH/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+HGGSP,,inconnue,les_deux,non,non,non,oui,,EDS-HGGSP/N1 EDS-MATH/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HGGSP.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf,9,9,555,8,P1_annuelle_MATH-PC-HGGSP_tle-inconnue_EAF-les_deux,audit-fixtures/combinaisons/Premiere/P1_MATH-PC-HGGSP_EAF-ecrit-et-oral.zip,,oui
P1|EDS-HGGSP/N1 EDS-MATH/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+HGGSP,,inconnue,les_deux,non,oui,non,oui,,EDS-HGGSP/N1 EDS-MATH/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HGGSP.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf,10,11,610,8,P1_annuelle_MATH-PC-HGGSP_tle-inconnue_EAF-les_deux_FR-POS,,,oui
P1|EDS-HLP/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+HLP,MATH+PC,HLP,les_deux,non,non,non,non,,EDS-HLP/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_SANS_SPECIALITE.pdf SPECIALITE_HLP.pdf,5,7,405,5,P1_annuelle_MATH-PC-HLP_tle-MATH-PC_EAF-les_deux_sans-diag-utile,,,oui
P1|EDS-HLP/N1 EDS-MATH/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+HLP,,inconnue,les_deux,non,non,non,oui,,EDS-HLP/N1 EDS-MATH/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HLP.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf,9,9,555,8,P1_annuelle_MATH-PC-HLP_tle-inconnue_EAF-les_deux,,,oui
P1|EDS-HLP/N1 EDS-MATH/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+HLP,,inconnue,les_deux,non,oui,non,oui,,EDS-HLP/N1 EDS-MATH/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_HLP.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf,10,11,610,8,P1_annuelle_MATH-PC-HLP_tle-inconnue_EAF-les_deux_FR-POS,,,oui
P1|EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+NSI,MATH+NSI,PC,les_deux,non,non,non,non,,EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_SANS_SPECIALITE.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf,5,7,405,5,P1_annuelle_MATH-PC-NSI_tle-MATH-NSI_EAF-les_deux_sans-diag-utile,,,oui
P1|EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+NSI,MATH+PC,NSI,les_deux,non,non,non,non,,EDS-NSI/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_SANS_SPECIALITE.pdf SPECIALITE_NSI.pdf,5,7,405,5,P1_annuelle_MATH-PC-NSI_tle-MATH-PC_EAF-les_deux_sans-diag-utile,,,oui
P1|EDS-MATH/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+NSI,PC+NSI,MATH,les_deux,non,non,non,non,,EDS-MATH/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf,5,7,405,15,P1_annuelle_MATH-PC-NSI_tle-PC-NSI_EAF-les_deux_sans-diag-utile,,,oui
P1|EDS-MATH/N1 EDS-NSI/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+NSI,,inconnue,les_deux,non,non,non,oui,,EDS-MATH/N1 EDS-NSI/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_NSI.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf,9,9,555,8,P1_annuelle_MATH-PC-NSI_tle-inconnue_EAF-les_deux,,,oui
P1|EDS-MATH/N1 EDS-NSI/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+NSI,,inconnue,les_deux,non,oui,non,oui,,EDS-MATH/N1 EDS-NSI/N1 EDS-PC/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_NSI.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf,10,11,610,8,P1_annuelle_MATH-PC-NSI_tle-inconnue_EAF-les_deux_FR-POS,,,oui
P1|FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+NSI,,inconnue,les_deux,non,non,non,non,,FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_SANS_SPECIALITE.pdf,4,6,330,15,P1_annuelle_MATH-PC-NSI_tle-inconnue_EAF-les_deux_sans-diag-utile,,,oui
P1|EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+SES,MATH+PC,SES,les_deux,non,non,non,non,,EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_SANS_SPECIALITE.pdf SPECIALITE_SES.pdf,5,7,405,5,P1_annuelle_MATH-PC-SES_tle-MATH-PC_EAF-les_deux_sans-diag-utile,,,oui
P1|EDS-MATH/N1 EDS-PC/N1 EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+SES,,inconnue,les_deux,non,non,non,oui,,EDS-MATH/N1 EDS-PC/N1 EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf SPECIALITE_SES.pdf,9,9,555,8,P1_annuelle_MATH-PC-SES_tle-inconnue_EAF-les_deux,,,oui
P1|EDS-MATH/N1 EDS-PC/N1 EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+SES,,inconnue,les_deux,non,oui,non,oui,,EDS-MATH/N1 EDS-PC/N1 EDS-SES/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard FR-POS/standard FR-POS-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf SPECIALITE_SES.pdf,10,11,610,8,P1_annuelle_MATH-PC-SES_tle-inconnue_EAF-les_deux_FR-POS,,,oui
P1|EDS-SVT/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+SVT,MATH+PC,SVT,les_deux,non,non,non,non,,EDS-SVT/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_SANS_SPECIALITE.pdf SPECIALITE_SVT.pdf,5,7,405,5,P1_annuelle_MATH-PC-SVT_tle-MATH-PC_EAF-les_deux_sans-diag-utile,,,oui
P1|EDS-MATH/N1 EDS-PC/N1 EDS-SVT/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,Premiere,P1,annuelle,MATH+PC+SVT,,inconnue,les_deux,non,non,non,oui,,EDS-MATH/N1 EDS-PC/N1 EDS-SVT/N1 FR-EAF/standard_2028 FR-EAF-ORAL/standard MATH-EA/SPE MET/standard QP/standard TC-EMC/1RE TC-ES/1RE TC-HG/1RE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf ENSEIGNEMENT_SCIENTIFIQUE.pdf FRANCAIS_ECRIT_ET_ORAL.pdf HISTOIRE-GEOGRAPHIE.pdf MATHEMATIQUES_AVEC_SPECIALITE.pdf SPECIALITE_PHYSIQUE-CHIMIE.pdf SPECIALITE_SVT.pdf,9,9,555,8,P1_annuelle_MATH-PC-SVT_tle-inconnue_EAF-les_deux,,,oui
